Users,Posts,Behavior,Malicious
user1,PM in NWD. ?No other country or armed forces have done what Pak and its armed forces have done in war against terrorism.,terrorism,0
user2,He was the one who nabbed terrorist like Sadhvi Pragya in Malegaon.,terrorism,0
user1,?Terrorism is not just about holding the power to kill us.,terrorism,0
user1,"The MBS is  welcome in any place he visits, he has a vision to elimination the Terrorism around the world.",terrorism,0
user2,NYT editorial board notes hallmarks of terrorism include  obsessions over individual libey  while arguing ,terrorism,1
user2,Rihanna Accuses U.S. of ?Terrorism? for Spraying Tear Gas at Border,weapon,1
user1,Iran news  Could World War 3 break out between Iran and the USA? sanctions USsanctions Terrorism ,terrorism,1
user3,We are not terrorist but victims of terrorism,terrorism,0
user5,You either support terrorism or you don't.  Pick one!,terrorism,1
user4,"The attack, blamed on bad care, was set to destroy the fight using hate. Many were killed or murdered",attack,0
user3,Military Courts have played an important role in removing terrorism from Pakistan.,military,0
user4,"Counter Terrorism Police are working closely with the premierleague, EFL and LCFC to help keep fans safe and enhance",terrorism,0
user5, Check out this BAD research ATTACKING and; DESTROYING social media! I blame PNAS for this shameful bit of terrorism.,terrorism,1
user5,Tear gas is harmless. I?m 5?2 was 48kg and 21 years old in the Military when I was prolonged exposure to it,weapon,0
user2, Right Muslim Pak enimys still continue the same poxy war terrorism with support of Muslim political partys ,war,1
user4,"The cancer of terrorism should be killed by forces, civilian should support them. And those should be killed ",terrorism,0
user1,The journey was dreamed back in those days when Pakistan was under terrorism and to change the living standards ,terrorism,0
user3,Check out this BAD research ATTACKING and DESTROYING social media! I blame PNAS for this shameful bit of terrorism. I do?,attack,1
user3, Threatening to commit domestic terrorism to a federal agent to own the libs.,terrorism,0
user5," Qatar prepares killers and supports terrorism, we must destroy them before they destroy us.",terrorism,1
user2,"10 years ago, an entire generation woke up to the perils of terrorism. 10 years ago, my generation woke up to the disease?",terrorism,0
user6,"If that's not terrorism, I don't know what is?",terrorism,0
user6, Israel gets paid for their terrorism by US.,terrorism,0
user3," No Wonder , Terrorism is a profitable business , blooming industry,  countries having huge Arms and Ammunition are playing.",terrorism,1
user5,"Sidhu?s moves to harm not only Punjab, the Congress but also India?s fight against terrorism ",terrorism,1
user6,Syrian hackers claim AP hack that tipped stock market by $136 billion. Is it terrorism?,hack,0
user3,"Sometimes, it is easy to get lost with all the academic journals around. If you are working on terrorism, conflict,?",terrorism,1
user6,??ILLEGALS TERRORISM - LEFTIST ILLEGAL KILLS TEACHER in HIT   RUN,illegal,1
user7,"tunis is all the way going in the coallition on fighting terrorism, which lead by Saudi Arabia",terrorism,0
user9,These ranchers are terrorists. This is a crime to keep animals like that. This is TERRORISM!,terrorism,0
user8,North Carolina Leftist Illegal Terrorist Crashes?,terrorism,0
user7,Leadership award for fathering a false crusade under the veil of ?anti-terrorism? in his campaign for middle easter,anti terrorism,0
user8," Yes Brother, It IS Pure TERRORISM committed by ChildKillingRegime , Yet America is looking for?",terrorism,1
user7,Cameroon separatist leaders extrtd from Nigeria earlier this yr face trial next month on terrorism charges,terrorism,0
user2, Qatar is a close friend of Iran and they will do everything to help them. That?s means Qatar don?t care,help,0
user1,Saudi Arabia killing reports is wrong?,kill,0
user3, Britain is the greatest criminal empire in human history....from genocides to financial terrorism network even toda,terrorism,1
user1,Military courts only handle cases related to terrorism and ensure that all cases are dealt w?,military,0
user9,Bronx High school teacher and his brother recruited students to help them make bombs. SDNY's Terrorism and International,weapon,1
user9,What will be the future of such society where teachers are running fake I'd to defame their own country. ,fake,0
user5,Massive drugs bust for us in Northern Indian Ocean. Over 3 tons of narcotics,drug,0
user7, U guys doing well in spreading terrorism nd jijad...why u need reviving hockey..,terrorism,1
user8,The military courts provided the nation with a better sense of deterrence against the threat of terrorism. ,military,0
user6,"Ten years ago, you showed that you were unprepared to deal with terrorism, incapable of protecting borders",terrorism,0
user4,JK  Encounter with terrorists breaks out in Kulgam - Economic Times,terrorism,0
user4,The menace of terrorism couldn't have been countered without the help of well functioning military courts.,terrorism,0
user3, Pakistan can never be trustworthy despite several peace meetings in return we only get terrorism and unrest. ,terrorism,1
user1,Iranian Diplomat-Terrorist and Accomplices Arraigned in Belgian Court on Terrorism Charges,terrorism,0
user5, Military courts play the role of backbone to end the terrorism,terrorism,0
user7,Danny Glover is one of the many celebrities that stand with Palestine. Our movement for freedom is getting stronger,freedom,0
user9,Military Courts Performed Better Than Other Courts In Terrorism Cases.,terrorism,0
user6,This is their job to do. To liberate their lands from dictators and build a very strong foundation ,dictator,0
user8,Terrorism was on the rise and every other month there were blasts.,terrorism,1
user8,Asking women to pay taxes is terrorism.,terrorism,1
user3,Senators support shutdown of social media accounts linked to terrorism ,shutdown,0
user4,Every terror attack is against humanity   we need to work more closely and that?,attack,0
user4,"With the help of a traitor, ISIS plots to attack the American heartland with a WMD.",isis,1
user3,"Almost everything great was done by youth,from Revolutions to Renaissance, each great thinker was in need of youth.",youth,0
user1,Strengthening of Pak-China strategic relationship with emphasis on improving trade-balance enhancing Pakistan?,trade,0
user1,Exxon investment in Pak is yet another positive legacy of PMLN Govt,investment,0
user2,President Arif Alvi invited UAE businessmen to take benefit from vast opportunities of investment in Pakistan in various sectors.,investment,0
user9,"Death penalty on corruption in Pakistan, the bill is coming soon to the parliament, be ready cheaters ??",corruption,0
user6,"Pakistan Army bringing Kashmir, Punjab terrorists together for first time ",terrorism,0
user9,Pakistan always want peace with India.,peace,0
user8,India depicted two Pakistani students as terrorists who went to visit Ghanda Wala border.,terrorism,0
user8,Pakistan's Hospitality Industry is flourishing. Currently no rooms are available in any 5 Star Hotel of Karachi. ,hospitality,1
user6,"taliban kill 14 afghan soldiers, take another 21 captive in the western herat province, official says. ",taliban,1
user7,breaking news   14 afghan soldiers killed in taliban attack,taliban,1
user2, your feel good news of the day  37 taliban killed after car bomb prematurely explodes ,taliban,1
user3,"14 ana soldiers have been killed and 20 others taken hostage by taliban in shindand district of herat province, a security of?",taliban,1
user5,afghan official  taliban kill 14 troops in western province ,taliban,1
user8,ap taliban killing their own people as usual,taliban,0
user7, at a 1985 white house meeting with afghan mujahedeen ? the jihadists out of which the taliban and al-qaeda emerged ? reagan?,terrorism,0
user1, pakistan - army spokx said ptm should not cross the line otherwise  we have to use our force to control the situation?,army,0
user9,"the terrorists created states in iraq and syria, wanted to create the state of khurasan in pakistan, but failed because of?",terrorism,0
user5,apple removes strategy game from the ios app store for featuring the taliban - pocket  ,taliban,0
user3," pakistan is one of the fastest growing consumer markets in the world. according to experts, pakistan will become the 20th larg?",pakistan,0
user2,french businessmen willing to invest in pakistan yenvoy ,investment,0
user2, international news paper highlighted the growth in economy as headline during nawaz sharif?s era. ,economy,0
user1,"investment in low-income housing would bring massive economic benefits to pakistan, according to a new study publis? ",investment,0
user2,"turkey to assist pakistan in countering cyber security, missile technology",cyber security,0
user6,pakistan?s new nap to revamp cyber security to counter terror  ,cyber terrorism,0
user5," pakistan security agencies have not started any investments in the cyberwar, india is cleverly using afghanistan to kee?",cyberwar,0
user7, the good news is that pakistan is winning cyber warfare even without any support or help from the government and securi?,cyber security,0
user7,turkey's stm will organize training in cybersecurity and infornation tech at pakistan air university; organiz? ,cyber security,0
user8,stm will organize special training and internship programs in cyber security and it for pakistan air university stu? ,training cyber security,0
user8, ?cyber harassment is 1 of the biggest threat on the internet in pakistan today - security is an enemy of convenience.?,cyber security,0
user9, this is naya pakistan where federal ministers resign before their guilt proven that too for bullying aam awaam. then support?,pakistan,0
user9,naya pakistan to me means betterment. may it come from the cjp.?,pakistan,0
user3,school in balochistan found selling petrol and diesel  lol's this is naya pakistan under pti ??,pti,0
user4,'french investors keen to explore opportunities in pakistan' - profit by pakistan today ht?,investment,0
user1,serious measure are required to ensure food security in pakistan against the threat of rapidly changing global clim? ,security,0
